Model_number,reps,fold,brier,slope,auc,Variables,Penalty,Model,Approach
7,3,6,0.144708745,0.941024144,0.782070936,B + C,,Cox,Cox
7,3,7,0.129976491,1.015259343,0.809960727,B + C,,Cox,Cox
7,3,8,0.1329555,1.079918399,0.803728413,B + C,,Cox,Cox
7,3,9,0.144723549,1.019520523,0.797872939,B + C,,Cox,Cox
7,3,10,0.146315277,0.95386151,0.779539074,B + C,,Cox,Cox
7,4,1,0.145135268,0.947267142,0.783738468,B + C,,Cox,Cox
7,4,2,0.138965596,0.992781819,0.787512641,B + C,,Cox,Cox
7,4,3,0.134902437,1.023162528,0.801273043,B + C,,Cox,Cox
7,4,4,0.132491972,0.973188572,0.786793053,B + C,,Cox,Cox
7,4,5,0.1389503,0.987340956,0.793939167,B + C,,Cox,Cox
7,4,6,0.140477931,0.978730584,0.789774289,B + C,,Cox,Cox
7,4,7,0.144100247,1.000128842,0.792646024,B + C,,Cox,Cox
7,4,8,0.146380019,1.006298138,0.789382917,B + C,,Cox,Cox
7,4,9,0.142814728,1.006325159,0.794927906,B + C,,Cox,Cox
7,4,10,0.139895066,1.012973538,0.797152259,B + C,,Cox,Cox
7,5,1,0.132532945,1.064106007,0.804110821,B + C,,Cox,Cox
7,5,2,0.137784063,1.038210356,0.799447222,B + C,,Cox,Cox
7,5,3,0.143480233,1.006913129,0.795140212,B + C,,Cox,Cox
7,5,4,0.139450454,1.008490497,0.794663831,B + C,,Cox,Cox
7,5,5,0.146107454,0.948532908,0.777730435,B + C,,Cox,Cox
7,5,6,0.138501367,0.971004435,0.788916369,B + C,,Cox,Cox
7,5,7,0.147779059,0.955417146,0.783428066,B + C,,Cox,Cox
7,5,8,0.133199715,1.003786693,0.80411353,B + C,,Cox,Cox
7,5,9,0.146977646,0.912034687,0.778393549,B + C,,Cox,Cox
7,5,10,0.142527282,0.994822086,0.787567544,B + C,,Cox,Cox
8,1,1,0.145535129,1.011635789,0.769055675,B + C,ridge,Cox,Cox ridge
8,1,2,0.145822098,0.980555803,0.769390293,B + C,ridge,Cox,Cox ridge
8,1,3,0.140937702,1.080505114,0.784765814,B + C,ridge,Cox,Cox ridge
8,1,4,0.140570552,1.001026708,0.773169788,B + C,ridge,Cox,Cox ridge
8,1,5,0.136753073,1.002780388,0.774088596,B + C,ridge,Cox,Cox ridge
8,1,6,0.149440017,0.997422564,0.771073077,B + C,ridge,Cox,Cox ridge
8,1,7,0.153270413,0.930730649,0.764407335,B + C,ridge,Cox,Cox ridge
8,1,8,0.149826495,0.932692404,0.759311864,B + C,ridge,Cox,Cox ridge
8,1,9,0.142507712,1.023680735,0.778516117,B + C,ridge,Cox,Cox ridge
8,1,10,0.153379654,0.926602733,0.759092332,B + C,ridge,Cox,Cox ridge
8,2,1,0.148830726,1.00435227,0.77713992,B + C,ridge,Cox,Cox ridge
8,2,2,0.144385664,0.936892293,0.757062659,B + C,ridge,Cox,Cox ridge
8,2,3,0.145311613,1.009865735,0.779374325,B + C,ridge,Cox,Cox ridge
8,2,4,0.148199708,0.941821312,0.760417035,B + C,ridge,Cox,Cox ridge
8,2,5,0.147949618,1.064369888,0.783522292,B + C,ridge,Cox,Cox ridge
8,2,6,0.139870916,1.021044337,0.773254085,B + C,ridge,Cox,Cox ridge
8,2,7,0.14563591,0.975867057,0.770896978,B + C,ridge,Cox,Cox ridge
8,2,8,0.145069985,1.020018196,0.770860886,B + C,ridge,Cox,Cox ridge
8,2,9,0.147329087,0.946288957,0.764080016,B + C,ridge,Cox,Cox ridge
8,2,10,0.149592536,0.936971422,0.759765019,B + C,ridge,Cox,Cox ridge
8,3,1,0.142934597,0.999174934,0.775824162,B + C,ridge,Cox,Cox ridge
8,3,2,0.148309022,0.917184673,0.754621935,B + C,ridge,Cox,Cox ridge
8,3,3,0.149162553,1.001063639,0.768090241,B + C,ridge,Cox,Cox ridge
8,3,4,0.148041765,0.932893387,0.758835071,B + C,ridge,Cox,Cox ridge
8,3,5,0.151354268,0.994686409,0.772259988,B + C,ridge,Cox,Cox ridge
8,3,6,0.148452247,0.960964102,0.764743878,B + C,ridge,Cox,Cox ridge
8,3,7,0.133497671,1.054391463,0.7875065,B + C,ridge,Cox,Cox ridge
8,3,8,0.137958035,1.060483654,0.783556429,B + C,ridge,Cox,Cox ridge
8,3,9,0.150658123,1.024695318,0.779982362,B + C,ridge,Cox,Cox ridge
8,3,10,0.153472694,0.926643943,0.756437249,B + C,ridge,Cox,Cox ridge
8,4,1,0.14867904,0.96888557,0.766791801,B + C,ridge,Cox,Cox ridge
8,4,2,0.144327089,0.984681942,0.768723853,B + C,ridge,Cox,Cox ridge
8,4,3,0.141256082,1.020796491,0.775723977,B + C,ridge,Cox,Cox ridge
8,4,4,0.137468392,0.970268095,0.764966444,B + C,ridge,Cox,Cox ridge
8,4,5,0.144458393,0.96324815,0.77134041,B + C,ridge,Cox,Cox ridge
8,4,6,0.14818386,0.945774061,0.7607855,B + C,ridge,Cox,Cox ridge
8,4,7,0.150736994,1.011290402,0.771609051,B + C,ridge,Cox,Cox ridge
8,4,8,0.153512822,0.979019396,0.767476871,B + C,ridge,Cox,Cox ridge
8,4,9,0.148491822,1.005456289,0.774281565,B + C,ridge,Cox,Cox ridge
8,4,10,0.144697994,1.009740487,0.774736927,B + C,ridge,Cox,Cox ridge
8,5,1,0.137543973,1.064834707,0.78407275,B + C,ridge,Cox,Cox ridge
8,5,2,0.142736455,1.02803066,0.778008684,B + C,ridge,Cox,Cox ridge
8,5,3,0.151762889,0.977043139,0.769225702,B + C,ridge,Cox,Cox ridge
8,5,4,0.144846711,0.990256646,0.772009051,B + C,ridge,Cox,Cox ridge
8,5,5,0.150841351,0.963142039,0.759842693,B + C,ridge,Cox,Cox ridge
8,5,6,0.144762508,0.948105627,0.764261818,B + C,ridge,Cox,Cox ridge
8,5,7,0.152332915,0.963128728,0.761883312,B + C,ridge,Cox,Cox ridge
8,5,8,0.138983381,1.015959831,0.780385716,B + C,ridge,Cox,Cox ridge
8,5,9,0.153761313,0.901535969,0.756187938,B + C,ridge,Cox,Cox ridge
8,5,10,0.147890824,0.987536735,0.76743823,B + C,ridge,Cox,Cox ridge
9,1,1,0.140837728,1.032607064,0.786972825,B + C,lasso,Cox,Cox lasso
9,1,2,0.140174987,1.023769961,0.790938006,B + C,lasso,Cox,Cox lasso
9,1,3,0.13767603,1.069494097,0.796223833,B + C,lasso,Cox,Cox lasso
9,1,4,0.134945572,1.059638772,0.793568922,B + C,lasso,Cox,Cox lasso
9,1,5,0.132041206,1.061843357,0.792303908,B + C,lasso,Cox,Cox lasso
9,1,6,0.144221141,1.053242267,0.787495715,B + C,lasso,Cox,Cox lasso
9,1,7,0.148399485,0.971390135,0.782305695,B + C,lasso,Cox,Cox lasso
9,1,8,0.143699536,0.994900049,0.780062745,B + C,lasso,Cox,Cox lasso
9,1,9,0.136954737,1.083269176,0.796927553,B + C,lasso,Cox,Cox lasso
9,1,10,0.148665395,0.957741324,0.77695471,B + C,lasso,Cox,Cox lasso
9,2,1,0.144547794,1.042078894,0.791810255,B + C,lasso,Cox,Cox lasso
9,2,2,0.138944209,0.97993819,0.779477862,B + C,lasso,Cox,Cox lasso
9,2,3,0.139748368,1.068368566,0.797676288,B + C,lasso,Cox,Cox lasso
9,2,4,0.143298429,0.980009653,0.77764453,B + C,lasso,Cox,Cox lasso
9,2,5,0.142746197,1.105382302,0.798051678,B + C,lasso,Cox,Cox lasso
9,2,6,0.134291567,1.05956641,0.79245487,B + C,lasso,Cox,Cox lasso
9,2,7,0.140295946,1.008373628,0.790325689,B + C,lasso,Cox,Cox lasso
9,2,8,0.141035031,1.030303065,0.787637679,B + C,lasso,Cox,Cox lasso
9,2,9,0.14223205,0.997623521,0.783942498,B + C,lasso,Cox,Cox lasso
9,2,10,0.143412314,1.009929629,0.783844432,B + C,lasso,Cox,Cox lasso
9,3,1,0.138348102,1.048157103,0.793602649,B + C,lasso,Cox,Cox lasso
9,3,2,0.142857853,0.970696044,0.772691818,B + C,lasso,Cox,Cox lasso
9,3,3,0.142120515,1.073662219,0.791542847,B + C,lasso,Cox,Cox lasso
9,3,4,0.142349264,1.002996084,0.781324428,B + C,lasso,Cox,Cox lasso
9,3,5,0.147599625,1.006648404,0.786195822,B + C,lasso,Cox,Cox lasso
9,3,6,0.144938585,0.979705695,0.77965714,B + C,lasso,Cox,Cox lasso
9,3,7,0.129668596,1.0701021,0.805187134,B + C,lasso,Cox,Cox lasso
9,3,8,0.132736578,1.114888173,0.801602457,B + C,lasso,Cox,Cox lasso
9,3,9,0.145349291,1.060710891,0.795628344,B + C,lasso,Cox,Cox lasso
9,3,10,0.147034773,0.985646942,0.777168836,B + C,lasso,Cox,Cox lasso
9,4,1,0.145211772,0.981311225,0.781822781,B + C,lasso,Cox,Cox lasso
9,4,2,0.139166868,1.034809129,0.78499549,B + C,lasso,Cox,Cox lasso
9,4,3,0.136687255,1.056428833,0.793504261,B + C,lasso,Cox,Cox lasso
9,4,4,0.13214418,1.017547322,0.785591243,B + C,lasso,Cox,Cox lasso
9,4,5,0.140075888,1.018997986,0.788061725,B + C,lasso,Cox,Cox lasso
9,4,6,0.14138088,1.008485273,0.784514199,B + C,lasso,Cox,Cox lasso
9,4,7,0.145508306,1.042547785,0.787613363,B + C,lasso,Cox,Cox lasso
9,4,8,0.147752641,1.03564408,0.784313244,B + C,lasso,Cox,Cox lasso
9,4,9,0.143379034,1.046311347,0.791550745,B + C,lasso,Cox,Cox lasso
9,4,10,0.140619645,1.049527872,0.791839747,B + C,lasso,Cox,Cox lasso
9,5,1,0.13287207,1.106756786,0.800752872,B + C,lasso,Cox,Cox lasso
9,5,2,0.138735605,1.073160823,0.793921353,B + C,lasso,Cox,Cox lasso
9,5,3,0.144692288,1.037280909,0.791237811,B + C,lasso,Cox,Cox lasso
9,5,4,0.140012295,1.045912332,0.790044527,B + C,lasso,Cox,Cox lasso
9,5,5,0.146352762,0.989158251,0.775904223,B + C,lasso,Cox,Cox lasso
9,5,6,0.139198597,1.00055604,0.785450746,B + C,lasso,Cox,Cox lasso
9,5,7,0.147721844,0.991204561,0.781042514,B + C,lasso,Cox,Cox lasso
9,5,8,0.133846742,1.048041768,0.79803204,B + C,lasso,Cox,Cox lasso
9,5,9,0.147783434,0.94585803,0.775293595,B + C,lasso,Cox,Cox lasso
9,5,10,0.142675965,1.034988122,0.785716289,B + C,lasso,Cox,Cox lasso
10,1,1,0.140230673,0.998242944,0.791870107,B + C,,Logistic,Logistic
10,1,2,0.139393302,0.993759604,0.796430566,B + C,,Logistic,Logistic
10,1,3,0.138864793,0.996967174,0.795123032,B + C,,Logistic,Logistic
10,1,4,0.133519712,1.042335864,0.801341967,B + C,,Logistic,Logistic
10,1,5,0.131145371,1.043557429,0.799633491,B + C,,Logistic,Logistic
10,1,6,0.14384393,1.003084236,0.790618867,B + C,,Logistic,Logistic
10,1,7,0.147461644,0.951649245,0.78699795,B + C,,Logistic,Logistic
10,1,8,0.143385703,0.957369782,0.78340753,B + C,,Logistic,Logistic
10,1,9,0.135461186,1.048428294,0.802568655,B + C,,Logistic,Logistic
10,1,10,0.148313921,0.920908441,0.77978684,B + C,,Logistic,Logistic
10,2,1,0.143592087,1.018942709,0.798563598,B + C,,Logistic,Logistic
10,2,2,0.138419607,0.957165175,0.783729022,B + C,,Logistic,Logistic
10,2,3,0.138758729,1.032289676,0.801936929,B + C,,Logistic,Logistic
10,2,4,0.142904013,0.948838539,0.780534383,B + C,,Logistic,Logistic
10,2,5,0.142440396,1.067017235,0.800522545,B + C,,Logistic,Logistic
10,2,6,0.133847884,1.000181848,0.795070493,B + C,,Logistic,Logistic
10,2,7,0.139778711,0.973262219,0.794197433,B + C,,Logistic,Logistic
10,2,8,0.141283743,0.9899224,0.790272224,B + C,,Logistic,Logistic
10,2,9,0.141340262,0.978225286,0.789262518,B + C,,Logistic,Logistic
10,2,10,0.142761279,0.976634549,0.789458893,B + C,,Logistic,Logistic
10,3,1,0.138249275,1.011078833,0.800020617,B + C,,Logistic,Logistic
10,3,2,0.142054005,0.92929189,0.777299862,B + C,,Logistic,Logistic
10,3,3,0.14044638,1.046479368,0.797172793,B + C,,Logistic,Logistic
10,3,4,0.141138754,0.965219051,0.7883902,B + C,,Logistic,Logistic
10,3,5,0.146690945,0.986335158,0.789743136,B + C,,Logistic,Logistic
10,3,6,0.144871763,0.939330819,0.782343206,B + C,,Logistic,Logistic
10,3,7,0.129599718,1.040231652,0.810348403,B + C,,Logistic,Logistic
10,3,8,0.133217832,1.072105116,0.80381455,B + C,,Logistic,Logistic
10,3,9,0.145100156,1.015327658,0.798276434,B + C,,Logistic,Logistic
10,3,10,0.146328472,0.950699226,0.780170788,B + C,,Logistic,Logistic
10,4,1,0.145176132,0.954651867,0.784102334,B + C,,Logistic,Logistic
10,4,2,0.139097926,0.991551579,0.787619793,B + C,,Logistic,Logistic
10,4,3,0.13501765,1.016207335,0.802055949,B + C,,Logistic,Logistic
10,4,4,0.132593823,0.967614249,0.786978507,B + C,,Logistic,Logistic
10,4,5,0.138998423,0.986495654,0.794648351,B + C,,Logistic,Logistic
10,4,6,0.140064127,0.988580399,0.79146086,B + C,,Logistic,Logistic
10,4,7,0.144251625,0.995731828,0.792806592,B + C,,Logistic,Logistic
10,4,8,0.146608073,1.010897589,0.789841447,B + C,,Logistic,Logistic
10,4,9,0.142735714,1.009848256,0.795497011,B + C,,Logistic,Logistic
10,4,10,0.139854077,1.016224367,0.797969582,B + C,,Logistic,Logistic
10,5,1,0.132540688,1.063195209,0.804174121,B + C,,Logistic,Logistic
10,5,2,0.138098036,1.038628286,0.800067464,B + C,,Logistic,Logistic
10,5,3,0.143702479,1.001312658,0.795978697,B + C,,Logistic,Logistic
10,5,4,0.139264839,1.015612122,0.795653091,B + C,,Logistic,Logistic
10,5,5,0.146507288,0.939603313,0.77767752,B + C,,Logistic,Logistic
10,5,6,0.138147276,0.970246756,0.790293223,B + C,,Logistic,Logistic
10,5,7,0.147880813,0.962988339,0.78429113,B + C,,Logistic,Logistic
10,5,8,0.133271934,1.019081745,0.804122293,B + C,,Logistic,Logistic
10,5,9,0.146931696,0.91556436,0.778917784,B + C,,Logistic,Logistic
10,5,10,0.142250582,0.993238479,0.788646942,B + C,,Logistic,Logistic
11,1,1,0.140882523,1.073057637,0.788555584,B + C,ridge,Logistic,Logistic ridge
11,1,2,0.140680621,1.060781075,0.789714376,B + C,ridge,Logistic,Logistic ridge
11,1,3,0.138178341,1.08859396,0.796336759,B + C,ridge,Logistic,Logistic ridge
11,1,4,0.134872557,1.09464525,0.795561496,B + C,ridge,Logistic,Logistic ridge
11,1,5,0.131717017,1.094103894,0.795916697,B + C,ridge,Logistic,Logistic ridge
11,1,6,0.144496666,1.06677702,0.788470843,B + C,ridge,Logistic,Logistic ridge
11,1,7,0.148096304,1.011122035,0.783738098,B + C,ridge,Logistic,Logistic ridge
11,1,8,0.143842953,1.006355528,0.781127009,B + C,ridge,Logistic,Logistic ridge
11,1,9,0.137156041,1.104893163,0.798167197,B + C,ridge,Logistic,Logistic ridge
11,1,10,0.148479257,0.984262944,0.777591654,B + C,ridge,Logistic,Logistic ridge
11,2,1,0.14440852,1.08458813,0.793863921,B + C,ridge,Logistic,Logistic ridge
11,2,2,0.139371251,1.005225129,0.778037614,B + C,ridge,Logistic,Logistic ridge
11,2,3,0.139909102,1.091467876,0.798098619,B + C,ridge,Logistic,Logistic ridge
11,2,4,0.143476706,1.00718523,0.777721177,B + C,ridge,Logistic,Logistic ridge
11,2,5,0.14304499,1.144620354,0.799388361,B + C,ridge,Logistic,Logistic ridge
11,2,6,0.134588319,1.074839185,0.792961336,B + C,ridge,Logistic,Logistic ridge
11,2,7,0.140133112,1.042660738,0.791853448,B + C,ridge,Logistic,Logistic ridge
11,2,8,0.141293992,1.063279056,0.788027854,B + C,ridge,Logistic,Logistic ridge
11,2,9,0.14215227,1.032227659,0.785614389,B + C,ridge,Logistic,Logistic ridge
11,2,10,0.143852722,1.032100494,0.783837888,B + C,ridge,Logistic,Logistic ridge
11,3,1,0.138401188,1.073222373,0.797043272,B + C,ridge,Logistic,Logistic ridge
11,3,2,0.142890419,0.981094813,0.774037257,B + C,ridge,Logistic,Logistic ridge
11,3,3,0.142258406,1.102443615,0.792156292,B + C,ridge,Logistic,Logistic ridge
11,3,4,0.142909539,1.017087868,0.780225258,B + C,ridge,Logistic,Logistic ridge
11,3,5,0.146730497,1.049237427,0.788638132,B + C,ridge,Logistic,Logistic ridge
11,3,6,0.144632393,1.006087161,0.781081854,B + C,ridge,Logistic,Logistic ridge
11,3,7,0.129668563,1.123572756,0.807279013,B + C,ridge,Logistic,Logistic ridge
11,3,8,0.133835352,1.135737512,0.80063774,B + C,ridge,Logistic,Logistic ridge
11,3,9,0.145331056,1.080119892,0.79711608,B + C,ridge,Logistic,Logistic ridge
11,3,10,0.147510289,1.004764344,0.776655485,B + C,ridge,Logistic,Logistic ridge
11,4,1,0.145364805,1.025602593,0.781146522,B + C,ridge,Logistic,Logistic ridge
11,4,2,0.139729301,1.050049467,0.785266051,B + C,ridge,Logistic,Logistic ridge
11,4,3,0.135791883,1.075697974,0.797879803,B + C,ridge,Logistic,Logistic ridge
11,4,4,0.132680922,1.030606064,0.785561816,B + C,ridge,Logistic,Logistic ridge
11,4,5,0.139457214,1.038046095,0.791461719,B + C,ridge,Logistic,Logistic ridge
11,4,6,0.141639789,1.037670007,0.785400597,B + C,ridge,Logistic,Logistic ridge
11,4,7,0.145464622,1.069463962,0.78936851,B + C,ridge,Logistic,Logistic ridge
11,4,8,0.147199547,1.060638787,0.7883323,B + C,ridge,Logistic,Logistic ridge
11,4,9,0.143238052,1.087110942,0.793302477,B + C,ridge,Logistic,Logistic ridge
11,4,10,0.14037701,1.092268546,0.793962948,B + C,ridge,Logistic,Logistic ridge
11,5,1,0.133174213,1.143863344,0.801411824,B + C,ridge,Logistic,Logistic ridge
11,5,2,0.138609247,1.098887304,0.796713567,B + C,ridge,Logistic,Logistic ridge
11,5,3,0.145155329,1.059553842,0.791450935,B + C,ridge,Logistic,Logistic ridge
11,5,4,0.140135994,1.081450642,0.791611188,B + C,ridge,Logistic,Logistic ridge
11,5,5,0.146574836,1.011785119,0.775989079,B + C,ridge,Logistic,Logistic ridge
11,5,6,0.139256087,1.024786878,0.785617679,B + C,ridge,Logistic,Logistic ridge
11,5,7,0.14780162,1.02407632,0.782263283,B + C,ridge,Logistic,Logistic ridge
11,5,8,0.134182239,1.095562913,0.799036118,B + C,ridge,Logistic,Logistic ridge
11,5,9,0.147827941,0.959861102,0.775833713,B + C,ridge,Logistic,Logistic ridge
11,5,10,0.142689519,1.058297524,0.786535419,B + C,ridge,Logistic,Logistic ridge
12,1,1,0.141025064,1.032397167,0.788617532,B + C,lasso,Logistic,Logistic lasso
12,1,2,0.140221526,1.036536516,0.791590839,B + C,lasso,Logistic,Logistic lasso
12,1,3,0.138308077,1.080633069,0.795950659,B + C,lasso,Logistic,Logistic lasso
12,1,4,0.134328209,1.08209083,0.796966723,B + C,lasso,Logistic,Logistic lasso
12,1,5,0.13175417,1.078264183,0.795604805,B + C,lasso,Logistic,Logistic lasso
12,1,6,0.144834263,1.05525902,0.787044401,B + C,lasso,Logistic,Logistic lasso
12,1,7,0.147584979,0.99673248,0.785594627,B + C,lasso,Logistic,Logistic lasso
12,1,8,0.143841311,1.001487807,0.781015872,B + C,lasso,Logistic,Logistic lasso
12,1,9,0.136570563,1.087921232,0.799798302,B + C,lasso,Logistic,Logistic lasso
12,1,10,0.148680493,0.96983554,0.776563788,B + C,lasso,Logistic,Logistic lasso
12,2,1,0.144324867,1.058431851,0.794225339,B + C,lasso,Logistic,Logistic lasso
12,2,2,0.139141754,0.986160069,0.778421876,B + C,lasso,Logistic,Logistic lasso
12,2,3,0.140247222,1.078610547,0.796997324,B + C,lasso,Logistic,Logistic lasso
12,2,4,0.143401712,0.998242309,0.777980208,B + C,lasso,Logistic,Logistic lasso
12,2,5,0.143387685,1.120130766,0.797469459,B + C,lasso,Logistic,Logistic lasso
12,2,6,0.134323885,1.063305908,0.793787518,B + C,lasso,Logistic,Logistic lasso
12,2,7,0.140528998,1.022768269,0.790177365,B + C,lasso,Logistic,Logistic lasso
12,2,8,0.141590028,1.04631687,0.787284329,B + C,lasso,Logistic,Logistic lasso
12,2,9,0.141977276,1.0130152,0.786525204,B + C,lasso,Logistic,Logistic lasso
12,2,10,0.143617321,1.02420423,0.784145574,B + C,lasso,Logistic,Logistic lasso
12,3,1,0.138292571,1.061106423,0.797108241,B + C,lasso,Logistic,Logistic lasso
12,3,2,0.142690099,0.976868045,0.774142008,B + C,lasso,Logistic,Logistic lasso
12,3,3,0.142199469,1.086040418,0.792705545,B + C,lasso,Logistic,Logistic lasso
12,3,4,0.141885187,1.004558984,0.78442748,B + C,lasso,Logistic,Logistic lasso
12,3,5,0.147830291,1.027181742,0.785294772,B + C,lasso,Logistic,Logistic lasso
12,3,6,0.144988421,0.985958711,0.780564164,B + C,lasso,Logistic,Logistic lasso
12,3,7,0.129620384,1.098435448,0.807521702,B + C,lasso,Logistic,Logistic lasso
12,3,8,0.133512698,1.118653437,0.800748126,B + C,lasso,Logistic,Logistic lasso
12,3,9,0.145586986,1.066340119,0.796419439,B + C,lasso,Logistic,Logistic lasso
12,3,10,0.147444898,1.00006637,0.77647573,B + C,lasso,Logistic,Logistic lasso
12,4,1,0.145193893,1.005445968,0.782096378,B + C,lasso,Logistic,Logistic lasso
12,4,2,0.139345967,1.035176122,0.786242219,B + C,lasso,Logistic,Logistic lasso
12,4,3,0.136154461,1.058708382,0.79711911,B + C,lasso,Logistic,Logistic lasso
12,4,4,0.132705745,1.020582912,0.785384932,B + C,lasso,Logistic,Logistic lasso
12,4,5,0.139622239,1.026228337,0.791035233,B + C,lasso,Logistic,Logistic lasso
12,4,6,0.141273526,1.029275285,0.785922594,B + C,lasso,Logistic,Logistic lasso
12,4,7,0.145515307,1.049817551,0.788424562,B + C,lasso,Logistic,Logistic lasso
12,4,8,0.147168693,1.048787318,0.787822079,B + C,lasso,Logistic,Logistic lasso
12,4,9,0.143515904,1.067546315,0.791883374,B + C,lasso,Logistic,Logistic lasso
12,4,10,0.140893309,1.070183472,0.791847424,B + C,lasso,Logistic,Logistic lasso
12,5,1,0.132899433,1.117127509,0.802130571,B + C,lasso,Logistic,Logistic lasso
12,5,2,0.138682243,1.086424334,0.796897474,B + C,lasso,Logistic,Logistic lasso
12,5,3,0.145585017,1.045597474,0.789276327,B + C,lasso,Logistic,Logistic lasso
12,5,4,0.139822558,1.061700859,0.792200939,B + C,lasso,Logistic,Logistic lasso
12,5,5,0.146677591,0.998618308,0.776231232,B + C,lasso,Logistic,Logistic lasso
12,5,6,0.139119927,1.007359185,0.786508187,B + C,lasso,Logistic,Logistic lasso
12,5,7,0.148681233,1.013835298,0.778816797,B + C,lasso,Logistic,Logistic lasso
12,5,8,0.134180837,1.073089865,0.797880371,B + C,lasso,Logistic,Logistic lasso
12,5,9,0.147704879,0.950607544,0.776035581,B + C,lasso,Logistic,Logistic lasso
12,5,10,0.142503455,1.049248861,0.786874342,B + C,lasso,Logistic,Logistic lasso
13,1,1,0.140005646,0.988095076,0.791853437,B + C^2,,Cox,Cox
13,1,2,0.140257751,0.972501007,0.793437498,B + C^2,,Cox,Cox
13,1,3,0.138745474,0.987747221,0.793687032,B + C^2,,Cox,Cox
13,1,4,0.134831346,0.989664261,0.800370336,B + C^2,,Cox,Cox
13,1,5,0.131786055,1.012172455,0.796386584,B + C^2,,Cox,Cox
13,1,6,0.143757957,1.006959111,0.790233649,B + C^2,,Cox,Cox
13,1,7,0.147678626,0.927749768,0.786399341,B + C^2,,Cox,Cox
13,1,8,0.143780992,0.957193854,0.782943932,B + C^2,,Cox,Cox
13,1,9,0.135558839,1.027263705,0.800548068,B + C^2,,Cox,Cox
13,1,10,0.149075169,0.9012276,0.779177825,B + C^2,,Cox,Cox
